pokedex_number,name,type1,type2,abilities,hp,attack,defense,sp_attack,sp_defense,speed
#00881,Arctozolt,electric,ice,"['Volt Absorb', 'Static', 'Slush Rush']",90,100,90,90,80,55
#00882,Dracovish,water,dragon,"['Water Absorb', 'Strong Jaw', 'Sand Rush']",90,90,100,70,80,75
#00883,Arctovish,water,ice,"['Water Absorb', 'Ice Body', 'Slush Rush']",90,90,100,80,90,55
#00884,Duraludon,steel,dragon,"['Light Metal', 'Heavy Metal', 'Stalwart']",70,95,115,120,50,85
#00885,Dreepy,dragon,ghost,"['Clear Body', 'Infiltrator', 'Cursed Body']",28,60,30,40,30,82
#00886,Drakloak,dragon,ghost,"['Clear Body', 'Infiltrator', 'Cursed Body']",68,80,50,60,50,102
#00887,Dragapult,dragon,ghost,"['Clear Body', 'Infiltrator', 'Cursed Body']",88,120,75,100,75,142
#00888,Zacian,fairy,,['Intrepid Sword'],92,120,115,80,115,138
#00889,Zamazenta,fighting,,['Dauntless Shield'],92,120,115,80,115,138
#00890,Eternatus,poison,dragon,['Pressure'],140,85,95,145,95,130
#00891,Kubfu,fighting,,['Inner Focus'],60,90,60,53,50,72
#00892,Urshifu,fighting,dark,['Unseen Fist'],100,130,100,63,60,97
#00893,Zarude,dark,grass,['Leaf Guard'],105,120,105,70,95,105
#00894,Regieleki,electric,,['Transistor'],80,100,50,100,50,200
#00895,Regidrago,dragon,,"[""Dragon's Maw""]",200,100,50,100,50,80
#00896,Glastrier,ice,,['Chilling Neigh'],100,145,130,65,110,30
#00897,Spectrier,ghost,,['Grim Neigh'],100,65,60,145,80,130
#00898,Calyrex,psychic,grass,['Unnerve'],100,80,80,80,80,80
#00899,Wyrdeer,normal,psychic,"['Intimidate', 'Frisk', 'Sap Sipper']",103,105,72,105,75,65
#00900,Kleavor,bug,rock,"['Swarm', 'Sheer Force', 'Steadfast']",70,135,95,45,70,85
#00901,Ursaluna,ground,normal,"['Guts', 'Bulletproof', 'Unnerve']",130,140,105,45,80,50
#00902,Basculegion,water,ghost,"['Rattled', 'Adaptability', 'Mold Breaker']",120,112,65,80,75,78
#00903,Sneasler,fighting,poison,"['Pressure', 'Poison Touch']",80,130,60,40,80,120
#00904,Overqwil,dark,poison,"['Poison Point', 'Swift Swim', 'Intimidate']",85,115,95,65,65,85
#00905,Enamorus,fairy,flying,"['Healer', 'Contrary']",74,115,70,135,80,106
#00906,Sprigatito,grass,,"['Overgrow', 'Protean']",40,61,54,45,45,65
#00907,Floragato,grass,,"['Overgrow', 'Protean']",61,80,63,60,63,83
#00908,Meowscarada,grass,dark,"['Overgrow', 'Protean']",76,110,70,81,70,123
#00909,Fuecoco,fire,,"['Blaze', 'Unaware']",67,45,59,63,40,36
#00910,Crocalor,fire,,"['Blaze', 'Unaware']",81,55,78,90,58,49
#00911,Skeledirge,fire,ghost,"['Blaze', 'Unaware']",104,75,100,110,75,66
#00912,Quaxly,water,,"['Torrent', 'Moxie']",55,65,45,50,45,50
#00913,Quaxwell,water,,"['Torrent', 'Moxie']",70,85,65,65,60,65
#00914,Quaquaval,water,fighting,"['Torrent', 'Moxie']",85,120,80,85,75,85
#00915,Lechonk,normal,,"['Aroma Veil', 'Gluttony', 'Thick Fat']",54,45,40,35,45,35
#00916,Oinkologne,normal,,"['Lingering Aroma', 'Gluttony', 'Thick Fat']",110,100,75,59,80,65
#00917,Tarountula,bug,,"['Insomnia', 'Stakeout']",35,41,45,29,40,20
#00918,Spidops,bug,,"['Insomnia', 'Stakeout']",60,79,92,52,86,35
#00919,Nymble,bug,,"['Swarm', 'Tinted Lens']",33,46,40,21,25,45
#00920,Lokix,bug,dark,"['Swarm', 'Tinted Lens']",71,102,78,52,55,92
#00921,Pawmi,electric,,"['Static', 'Natural Cure', 'Iron Fist']",45,50,20,40,25,60
#00922,Pawmo,electric,fighting,"['Volt Absorb', 'Natural Cure', 'Iron Fist']",60,75,40,50,40,85
#00923,Pawmot,electric,fighting,"['Volt Absorb', 'Natural Cure', 'Iron Fist']",70,115,70,70,60,105
#00924,Tandemaus,normal,,"['Run Away', 'Pickup', 'Own Tempo']",50,50,45,40,45,75
#00925,Maushold,normal,,"['Friend Guard', 'Cheek Pouch', 'Technician']",74,75,70,65,75,111
#00926,Fidough,fairy,,"['Own Tempo', 'Klutz']",37,55,70,30,55,65
#00927,Dachsbun,fairy,,"['Well-Baked Body', 'Aroma Veil']",57,80,115,50,80,95
#00928,Smoliv,grass,normal,"['Early Bird', 'Harvest']",41,35,45,58,51,30
#00929,Dolliv,grass,normal,"['Early Bird', 'Harvest']",52,53,60,78,78,33
#00930,Arboliva,grass,normal,"['Seed Sower', 'Harvest']",78,69,90,125,109,39
#00931,Squawkabilly,normal,flying,"['Intimidate', 'Hustle', 'Guts']",82,96,51,45,51,92
#00932,Nacli,rock,,"['Purifying Salt', 'Sturdy', 'Clear Body']",55,55,75,35,35,25
#00933,Naclstack,rock,,"['Purifying Salt', 'Sturdy', 'Clear Body']",60,60,100,35,65,35
#00934,Garganacl,rock,,"['Purifying Salt', 'Sturdy', 'Clear Body']",100,100,130,45,90,35
#00935,Charcadet,fire,,"['Flash Fire', 'Flame Body']",40,50,40,50,40,35
#00936,Armarouge,fire,psychic,"['Flash Fire', 'Weak Armor']",85,60,100,125,80,75
#00937,Ceruledge,fire,ghost,"['Flash Fire', 'Weak Armor']",75,125,80,60,100,85
#00938,Tadbulb,electric,,"['Own Tempo', 'Static', 'Damp']",61,31,41,59,35,45
#00939,Bellibolt,electric,,"['Electromorphosis', 'Static', 'Damp']",109,64,91,103,83,45
#00940,Wattrel,electric,flying,"['Wind Power', 'Volt Absorb', 'Competitive']",40,40,35,55,40,70
#00941,Kilowattrel,electric,flying,"['Wind Power', 'Volt Absorb', 'Competitive']",70,70,60,105,60,125
#00942,Maschiff,dark,,"['Intimidate', 'Run Away', 'Stakeout']",60,78,60,40,51,51
#00943,Mabosstiff,dark,,"['Intimidate', 'Guard Dog', 'Stakeout']",80,120,90,60,70,85
#00944,Shroodle,poison,normal,"['Unburden', 'Pickpocket', 'Prankster']",40,65,35,40,35,75
#00945,Grafaiai,poison,normal,"['Unburden', 'Poison Touch', 'Prankster']",63,95,65,80,72,110
#00946,Bramblin,grass,ghost,"['Wind Rider', 'Infiltrator']",40,65,30,45,35,60
#00947,Brambleghast,grass,ghost,"['Wind Rider', 'Infiltrator']",55,115,70,80,70,90
#00948,Toedscool,ground,grass,['Mycelium Might'],40,40,35,50,100,70
#00949,Toedscruel,ground,grass,['Mycelium Might'],80,70,65,80,120,100
#00950,Klawf,rock,,"['Anger Shell', 'Shell Armor', 'Regenerator']",70,100,115,35,55,75
#00951,Capsakid,grass,,"['Chlorophyll', 'Insomnia', 'Klutz']",50,62,40,62,40,50
#00952,Scovillain,grass,fire,"['Chlorophyll', 'Insomnia', 'Moody']",65,108,65,108,65,75
#00953,Rellor,bug,,"['Compoundeyes', 'Shed Skin']",41,50,60,31,58,30
#00954,Rabsca,bug,psychic,"['Synchronize', 'Telepathy']",75,50,85,115,100,45
#00955,Flittle,psychic,,"['Anticipation', 'Frisk', 'Speed Boost']",30,35,30,55,30,75
#00956,Espathra,psychic,,"['Opportunist', 'Frisk', 'Speed Boost']",95,60,60,101,60,105
#00957,Tinkatink,fairy,steel,"['Mold Breaker', 'Own Tempo', 'Pickpocket']",50,45,45,35,64,58
#00958,Tinkatuff,fairy,steel,"['Mold Breaker', 'Own Tempo', 'Pickpocket']",65,55,55,45,82,78
#00959,Tinkaton,fairy,steel,"['Mold Breaker', 'Own Tempo', 'Pickpocket']",85,75,77,70,105,94
#00960,Wiglett,water,,"['Gooey', 'Rattled', 'Sand Veil']",10,55,25,35,25,95
#00961,Wugtrio,water,,"['Gooey', 'Rattled', 'Sand Veil']",35,100,50,50,70,120
#00962,Bombirdier,flying,dark,"['Big Pecks', 'Keen Eye', 'Rocky Payload']",70,103,85,60,85,82
#00963,Finizen,water,,['Water Veil'],70,45,40,45,40,75
#00964,Palafin,water,,['Zero to Hero'],100,70,72,53,62,100
#00965,Varoom,steel,poison,"['Overcoat', 'Slow Start']",45,70,63,30,45,47
#00966,Revavroom,steel,poison,"['Overcoat', 'Filter']",80,119,90,54,67,90
#00967,Cyclizar,dragon,normal,"['Shed Skin', 'Regenerator']",70,95,65,85,65,121
#00968,Orthworm,steel,,"['Earth Eater', 'Sand Veil']",70,85,145,60,55,65
#00969,Glimmet,rock,poison,"['Toxic Debris', 'Corrosion']",48,35,42,105,60,60
#00970,Glimmora,rock,poison,"['Toxic Debris', 'Corrosion']",83,55,90,130,81,86
#00971,Greavard,ghost,,"['Pickup', 'Fluffy']",50,61,60,30,55,34
#00972,Houndstone,ghost,,"['Sand Rush', 'Fluffy']",72,101,100,50,97,68
#00973,Flamigo,flying,fighting,"['Scrappy', 'Tangled Feet', 'Costar']",82,115,74,75,64,90
#00974,Cetoddle,ice,,"['Thick Fat', 'Snow Cloak', 'Sheer Force']",108,68,45,30,40,43
#00975,Cetitan,ice,,"['Thick Fat', 'Slush Rush', 'Sheer Force']",170,113,65,45,55,73
#00976,Veluza,water,psychic,"['Mold Breaker', 'Sharpness']",90,102,73,78,65,70
#00977,Dondozo,water,,"['Unaware', 'Oblivious', 'Water Veil']",150,100,115,65,65,35
#00978,Tatsugiri,dragon,water,"['Commander', 'Storm Drain']",68,50,60,120,95,82
#00979,Annihilape,fighting,ghost,"['Vital Spirit', 'Inner Focus', 'Defiant']",110,115,80,50,90,90
#00980,Clodsire,poison,ground,"['Poison Point', 'Water Absorb', 'Unaware']",130,75,60,45,100,20
#00981,Farigiraf,normal,psychic,"['Cud Chew', 'Armor Tail', 'Sap Sipper']",120,90,70,110,70,60
#00982,Dudunsparce,normal,,"['Serene Grace', 'Run Away', 'Rattled']",125,100,80,85,75,55
#00983,Kingambit,dark,steel,"['Defiant', 'Supreme Overlord', 'Pressure']",100,135,120,60,85,50
#00984,Great Tusk,ground,fighting,['Protosynthesis'],115,131,131,53,53,87
#00985,Scream Tail,fairy,psychic,['Protosynthesis'],115,65,99,65,115,111
#00986,Brute Bonnet,grass,dark,['Protosynthesis'],111,127,99,79,99,55
#00987,Flutter Mane,ghost,fairy,['Protosynthesis'],55,55,55,135,135,135
#00988,Slither Wing,bug,fighting,['Protosynthesis'],85,135,79,85,105,81
#00989,Sandy Shocks,electric,ground,['Protosynthesis'],85,81,97,121,85,101
#00990,Iron Treads,ground,steel,['Quark Drive'],90,112,120,72,70,106
#00991,Iron Bundle,ice,water,['Quark Drive'],56,80,114,124,60,136
#00992,Iron Hands,fighting,electric,['Quark Drive'],154,140,108,50,68,50
#00993,Iron Jugulis,dark,flying,['Quark Drive'],94,80,86,122,80,108
#00994,Iron Moth,fire,poison,['Quark Drive'],80,70,60,140,110,110
#00995,Iron Thorns,rock,electric,['Quark Drive'],100,134,110,70,84,72
#00996,Frigibax,dragon,ice,"['Thermal Exchange', 'Ice Body']",65,75,45,35,45,55
#00997,Arctibax,dragon,ice,"['Thermal Exchange', 'Ice Body']",90,95,66,45,65,62
#00998,Baxcalibur,dragon,ice,"['Thermal Exchange', 'Ice Body']",115,145,92,75,86,87
#00999,Gimmighoul,ghost,,['Rattled'],45,30,70,75,70,10
#1000,Gholdengo,steel,ghost,['Good as Gold'],87,60,95,133,91,84
#1001,Wo-Chien,dark,grass,['Tablets of Ruin'],85,85,100,95,135,70
#1002,Chien-Pao,dark,ice,['Sword of Ruin'],80,120,80,90,65,135
#1003,Ting-Lu,dark,ground,['Vessel of Ruin'],155,110,125,55,80,45
#1004,Chi-Yu,dark,fire,['Beads of Ruin'],55,80,80,135,120,100
#1005,Roaring Moon,dragon,dark,['Protosynthesis'],105,139,71,55,101,119
#1006,Iron Valiant,fairy,fighting,['Quark Drive'],74,130,90,120,60,116
#1007,Koraidon,fighting,dragon,['Orichalcum Pulse'],100,135,115,85,100,135
#1008,Miraidon,electric,dragon,['Hadron Engine'],100,85,100,135,115,135
#1009,Walking Wake,water,dragon,['Protosynthesis'],99,83,91,125,83,109
#1010,Iron Leaves,grass,psychic,['Quark Drive'],90,130,88,70,108,104
